1.000 0.010
0 21  -2.959212 2.111394 
0 22  -2.423743 1.012020 
0 23  -2.129017 0.490552 
0 24  -1.915653 0.161853 
0 25  -1.742863 -0.071885 
0 26  -1.594369 -0.249421 
0 27  -1.462096 -0.389838 
0 28  -1.341472 -0.503867 
0 29  -1.229662 -0.598110 
0 30  -1.124788 -0.676907 
0 31  -1.025545 -0.743254 
0 32  -0.930985 -0.799302 
0 33  -0.840401 -0.846646 
0 34  -0.753250 -0.886497 
0 35  -0.669108 -0.919794 
0 36  -0.587634 -0.947278 
0 37  -0.508555 -0.969543 
0 38  -0.431645 -0.987069 
0 39  -0.356716 -1.000248 
0 40  -0.283614 -1.009401 
0 41  -0.212205 -1.014796 
0 42  -0.142380 -1.016651 
0 43  -0.074044 -1.015148 
0 44  -0.007117 -1.010436 
0 45  0.058470 -1.002637 
0 46  0.122773 -0.991845 
0 47  0.185840 -0.978137 
0 48  0.247712 -0.961567 
0 49  0.308419 -0.942171 
0 50  0.367988 -0.919970 
0 51  0.426435 -0.894965 
0 52  0.483772 -0.867143 
0 53  0.540003 -0.836472 
0 54  0.595127 -0.802903 
0 55  0.649133 -0.766371 
0 56  0.702006 -0.726787 
0 57  0.753721 -0.684042 
0 58  0.804242 -0.638002 
0 59  0.853525 -0.588503 
0 60  0.901514 -0.535350 
0 61  0.948138 -0.478306 
0 62  0.993307 -0.417088 
0 63  1.036914 -0.351355 
0 64  1.078824 -0.280695 
0 65  1.118867 -0.204604 
0 66  1.156834 -0.122463 
0 67  1.192460 -0.033502 
0 68  1.225404 0.063253 
0 69  1.255225 0.169054 
0 70  1.281334 0.285542 
0 71  1.302935 0.414928 
0 72  1.318905 0.560284 
0 73  1.327613 0.726045 
0 74  1.326557 0.918950 
0 75  1.311649 1.149920 
0 76  1.275574 1.438344 
0 77  1.203390 1.823514 
0 78  1.057179 2.404389 
0 79  0.686744 3.569776 
1 20  -3.788767 3.849504 
1 21  -2.721570 1.500833 
1 22  -2.329197 0.757685 
1 23  -2.074870 0.338666 
1 24  -1.879310 0.056012 
1 25  -1.716134 -0.152333 
1 26  -1.573482 -0.314083 
1 27  -1.445044 -0.443881 
1 28  -1.327077 -0.550354 
1 29  -1.217182 -0.638992 
1 30  -1.113730 -0.713495 
1 31  -1.015565 -0.776466 
1 32  -0.921837 -0.829807 
1 33  -0.831903 -0.874943 
1 34  -0.745264 -0.912968 
1 35  -0.661526 -0.944737 
1 36  -0.580372 -0.970933 
1 37  -0.501544 -0.992102 
1 38  -0.424829 -1.008691 
1 39  -0.350049 -1.021066 
1 40  -0.277057 -1.029528 
1 41  -0.205725 -1.034328 
1 42  -0.135946 -1.035672 
1 43  -0.067631 -1.033731 
1 44  -0.000702 -1.028647 
1 45  0.064908 -1.020535 
1 46  0.129254 -1.009484 
1 47  0.192383 -0.995568 
1 48  0.254335 -0.978837 
1 49  0.315139 -0.959326 
1 50  0.374822 -0.937054 
1 51  0.433400 -0.912022 
1 52  0.490887 -0.884216 
1 53  0.547286 -0.853607 
1 54  0.602598 -0.820147 
1 55  0.656814 -0.783772 
1 56  0.709920 -0.744399 
1 57  0.761892 -0.701922 
1 58  0.812700 -0.656213 
1 59  0.862302 -0.607117 
1 60  0.910647 -0.554447 
1 61  0.957667 -0.497979 
1 62  1.003284 -0.437446 
1 63  1.047395 -0.372526 
1 64  1.089878 -0.302833 
1 65  1.130579 -0.227895 
1 66  1.169307 -0.147139 
1 67  1.205821 -0.059853 
1 68  1.239818 0.034855 
1 69  1.270903 0.138121 
1 70  1.298559 0.251421 
1 71  1.322092 0.376717 
1 72  1.340541 0.516693 
1 73  1.352536 0.675150 
1 74  1.356027 0.857720 
1 75  1.347775 1.073231 
1 76  1.322250 1.336636 
1 77  1.268930 1.676186 
1 78  1.164119 2.155011 
1 79  0.935735 2.963755 
1 80  0.088760 5.400514 
2 20  -3.168028 2.320035 
2 21  -2.574082 1.118918 
2 22  -2.256123 0.559633 
2 23  -2.029239 0.209757 
2 24  -1.847216 -0.038073 
2 25  -1.691825 -0.225942 
2 26  -1.554097 -0.374427 
2 27  -1.428982 -0.495039 
2 28  -1.313363 -0.594836 
2 29  -1.205186 -0.678439 
2 30  -1.103023 -0.749034 
2 31  -1.005846 -0.808903 
2 32  -0.912884 -0.859733 
2 33  -0.823552 -0.902806 
2 34  -0.737388 -0.939115 
2 35  -0.654027 -0.969442 
2 36  -0.573170 -0.994414 
2 37  -0.494576 -1.014540 
2 38  -0.418043 -1.030234 
2 39  -0.343401 -1.041838 
2 40  -0.270508 -1.049636 
2 41  -0.199245 -1.053862 
2 42  -0.129507 -1.054712 
2 43  -0.061207 -1.052348 
2 44  0.005729 -1.046903 
2 45  0.071366 -1.038486 
2 46  0.135758 -1.027184 
2 47  0.198951 -1.013065 
2 48  0.260984 -0.996176 
2 49  0.321886 -0.976552 
2 50  0.381684 -0.954209 
2 51  0.440394 -0.929149 
2 52  0.498030 -0.901358 
2 53  0.554597 -0.870806 
2 54  0.610095 -0.837449 
2 55  0.664519 -0.801225 
2 56  0.717853 -0.762053 
2 57  0.770080 -0.719833 
2 58  0.821168 -0.674442 
2 59  0.871082 -0.625731 
2 60  0.919772 -0.573524 
2 61  0.967179 -0.517606 
2 62  1.013227 -0.457726 
2 63  1.057824 -0.393580 
2 64  1.100857 -0.324803 
2 65  1.142186 -0.250957 
2 66  1.181636 -0.171505 
2 67  1.218990 -0.085790 
2 68  1.253974 0.007010 
2 69  1.286235 0.107929 
2 70  1.315316 0.218302 
2 71  1.340610 0.339879 
2 72  1.361288 0.475025 
2 73  1.376186 0.627028 
2 74  1.383606 0.800654 
2 75  1.380936 1.003163 
2 76  1.363896 1.246372 
2 77  1.324789 1.551369 
2 78  1.247791 1.961198 
2 79  1.092323 2.585480 
2 80  0.694066 3.864872 
3 19  -4.127747 4.296843 
3 20  -2.897644 1.647834 
3 21  -2.469234 0.845133 
3 22  -2.196862 0.397731 
3 23  -1.989836 0.097607 
3 24  -1.818459 -0.122963 
3 25  -1.669504 -0.293960 
3 26  -1.535985 -0.431130 
3 27  -1.413778 -0.543712 
3 28  -1.300250 -0.637561 
3 29  -1.193622 -0.716615 
3 30  -1.092635 -0.783637 
3 31  -0.996363 -0.840642 
3 32  -0.904110 -0.889136 
3 33  -0.815335 -0.930277 
3 34  -0.729614 -0.964969 
3 35  -0.646603 -0.993930 
3 36  -0.566024 -1.017740 
3 37  -0.487648 -1.036870 
3 38  -0.411283 -1.051707 
3 39  -0.336768 -1.062571 
3 40  -0.263967 -1.069729 
3 41  -0.192764 -1.073402 
3 42  -0.123061 -1.073775 
