1.000 0.010
0 15  -1.828061 1.076690 
0 16  -2.129684 0.671630 
0 17  -2.280690 0.344404 
0 18  -2.363471 0.054887 
0 19  -2.403143 -0.208705 
0 20  -2.411779 -0.451844 
0 21  -2.396448 -0.677634 
0 22  -2.361796 -0.888055 
0 23  -2.311123 -1.084472 
0 24  -2.246903 -1.267883 
0 25  -2.171071 -1.439051 
0 26  -2.085192 -1.598578 
0 27  -1.990563 -1.746956 
0 28  -1.888282 -1.884592 
0 29  -1.779300 -2.011836 
0 30  -1.664447 -2.128990 
0 31  -1.544462 -2.236317 
0 32  -1.420008 -2.334056 
0 33  -1.291687 -2.422419 
0 34  -1.160052 -2.501602 
0 35  -1.025610 -2.571785 
0 36  -0.888836 -2.633134 
0 37  -0.750173 -2.685809 
0 38  -0.610039 -2.729955 
0 39  -0.468829 -2.765716 
0 40  -0.326920 -2.793226 
0 41  -0.184674 -2.812616 
0 42  -0.042437 -2.824011 
0 43  0.099456 -2.827536 
0 44  0.240680 -2.823309 
0 45  0.380919 -2.811451 
0 46  0.519863 -2.792076 
0 47  0.657209 -2.765301 
0 48  0.792659 -2.731241 
0 49  0.925917 -2.690011 
0 50  1.056691 -2.641726 
0 51  1.184689 -2.586503 
0 52  1.309620 -2.524457 
0 53  1.431194 -2.455707 
0 54  1.549117 -2.380374 
0 55  1.663094 -2.298581 
0 56  1.772824 -2.210452 
0 57  1.878005 -2.116116 
0 58  1.978324 -2.015707 
0 59  2.073465 -1.909360 
0 60  2.163098 -1.797219 
0 61  2.246887 -1.679430 
0 62  2.324480 -1.556148 
0 63  2.395511 -1.427535 
0 64  2.459595 -1.293762 
0 65  2.516328 -1.155009 
0 66  2.565280 -1.011469 
0 67  2.605993 -0.863346 
0 68  2.637975 -0.710862 
0 69  2.660691 -0.554256 
0 70  2.673558 -0.393788 
0 71  2.675932 -0.229744 
0 72  2.667096 -0.062441 
0 73  2.646239 0.107765 
0 74  2.612434 0.280472 
0 75  2.564604 0.455219 
0 76  2.501470 0.631466 
0 77  2.421484 0.808571 
0 78  2.322718 0.985751 
0 79  2.202693 1.162022 
0 80  2.058077 1.336099 
0 81  1.884141 1.506209 
0 82  1.673625 1.669725 
0 83  1.414014 1.822286 
0 84  1.078992 1.955100 
0 85  0.581224 2.040404 
1 15  -1.875548 1.098897 
1 16  -2.177679 0.687744 
1 17  -2.329936 0.354327 
1 18  -2.413345 0.059158 
1 19  -2.453086 -0.209599 
1 20  -2.461338 -0.457485 
1 21  -2.445256 -0.687655 
1 22  -2.409551 -0.902126 
1 23  -2.357572 -1.102296 
1 24  -2.291832 -1.289184 
1 25  -2.214299 -1.463574 
1 26  -2.126562 -1.626082 
1 27  -2.029939 -1.777214 
1 28  -1.925550 -1.917388 
1 29  -1.814357 -2.046964 
1 30  -1.697208 -2.166250 
1 31  -1.574851 -2.275520 
1 32  -1.447962 -2.375017 
1 33  -1.317153 -2.464960 
1 34  -1.182984 -2.545550 
1 35  -1.045972 -2.616972 
1 36  -0.906598 -2.679397 
1 37  -0.765312 -2.732987 
1 38  -0.622540 -2.777894 
1 39  -0.478683 -2.814262 
1 40  -0.334123 -2.842230 
1 41  -0.189227 -2.861932 
1 42  -0.044348 -2.873496 
1 43  0.100175 -2.877049 
1 44  0.244013 -2.872712 
1 45  0.386842 -2.860607 
1 46  0.528351 -2.840853 
1 47  0.668230 -2.813567 
1 48  0.806177 -2.778867 
1 49  0.941891 -2.736870 
1 50  1.075077 -2.687692 
1 51  1.205437 -2.631452 
1 52  1.332677 -2.568267 
1 53  1.456501 -2.498259 
1 54  1.576610 -2.421549 
1 55  1.692705 -2.338262 
1 56  1.804482 -2.248524 
1 57  1.911631 -2.152467 
1 58  2.013835 -2.050223 
1 59  2.110773 -1.941932 
1 60  2.202110 -1.827737 
1 61  2.287503 -1.707788 
1 62  2.366594 -1.582240 
1 63  2.439010 -1.451258 
1 64  2.504362 -1.315013 
1 65  2.562236 -1.173689 
1 66  2.612195 -1.027479 
1 67  2.653773 -0.876590 
1 68  2.686467 -0.721245 
1 69  2.709733 -0.561686 
1 70  2.722978 -0.398176 
1 71  2.725544 -0.231003 
1 72  2.716700 -0.060488 
1 73  2.695621 0.113010 
1 74  2.661360 0.289086 
1 75  2.612819 0.467273 
1 76  2.548695 0.647027 
1 77  2.467411 0.827698 
1 78  2.367004 1.008496 
1 79  2.244947 1.188427 
1 80  2.097855 1.366193 
1 81  1.920924 1.540005 
1 82  1.706796 1.707214 
1 83  1.442832 1.863434 
1 84  1.102634 1.999869 
1 85  0.600295 2.089234 
2 15  -1.923661 1.121136 
2 16  -2.226352 0.703813 
2 17  -2.379838 0.364163 
2 18  -2.463855 0.063301 
2 19  -2.503647 -0.210663 
2 20  -2.511497 -0.463335 
2 21  -2.494645 -0.697923 
2 22  -2.457866 -0.916482 
2 23  -2.404559 -1.120438 
2 24  -2.337277 -1.310836 
2 25  -2.258018 -1.488477 
2 26  -2.168398 -1.653995 
2 27  -2.069757 -1.807906 
2 28  -1.963232 -1.950642 
2 29  -1.849802 -2.082571 
2 30  -1.730328 -2.204011 
2 31  -1.605572 -2.315241 
2 32  -1.476220 -2.416513 
2 33  -1.342893 -2.508051 
2 34  -1.206160 -2.590062 
2 35  -1.066548 -2.662734 
2 36  -0.924544 -2.726245 
2 37  -0.780606 -2.780759 
2 38  -0.635166 -2.826432 
2 39  -0.488631 -2.863413 
2 40  -0.341390 -2.891843 
2 41  -0.193814 -2.911859 
2 42  -0.046262 -2.923593 
2 43  0.100921 -2.927173 
2 44  0.247401 -2.922724 
2 45  0.392851 -2.910370 
2 46  0.536953 -2.890231 
2 47  0.679394 -2.862428 
2 48  0.819866 -2.827080 
2 49  0.958066 -2.784306 
2 50  1.093690 -2.734225 
2 51  1.226440 -2.676957 
2 52  1.356014 -2.612621 
2 53  1.482113 -2.541340 
2 54  1.604435 -2.463238 
2 55  1.722673 -2.378441 
2 56  1.836519 -2.287077 
2 57  1.945659 -2.189278 
2 58  2.049771 -2.085180 
2 59  2.148527 -1.974923 
2 60  2.241588 -1.858652 
2 61  2.328604 -1.736519 
2 62  2.409211 -1.608681 
2 63  2.483032 -1.475304 
2 64  2.549666 -1.336561 
2 65  2.608696 -1.192637 
2 66  2.659676 -1.043728 
2 67  2.702130 -0.890042 
2 68  2.735548 -0.731806 
2 69  2.759374 -0.569263 
2 70  2.773004 -0.402678 
2 71  2.775768 -0.232343 
2 72  2.766921 -0.058581 
2 73  2.745621 0.118245 
2 74  2.710905 0.297727 
2 75  2.661652 0.479391 
2 76  2.596536 0.662689 
2 77  2.513948 0.846965 
2 78  2.411890 1.031421 
2 79  2.287793 1.215052 
2 80  2.138212 1.396548 
2 81  1.958270 1.574104 
2 82  1.740515 1.745049 
2 83  1.472184 1.904972 
2 84  1.126798 2.045073 
2 85  0.619798 2.138520 
3 15  -1.972417 1.143409 
3 16  -2.275714 0.719839 
3 17  -2.430406 0.373913 
3 18  -2.515012 0.067315 
3 19  -2.554836 -0.211899 
3 20  -2.562265 -0.469399 
3 21  -2.544623 -0.708443 
3 22  -2.506750 -0.931126 
3 23  -2.452094 -1.138904 
3 24  -2.383246 -1.332844 
3 25  -2.302237 -1.513767 
3 26  -2.210709 -1.682322 
3 27  -2.110024 -1.839040 
3 28  -2.001336 -1.984362 
3 29  -1.885642 -2.118667 
3 30  -1.763815 -2.242281 
3 31  -1.636631 -2.355491 
3 32  -1.504786 -2.458555 
3 33  -1.368911 -2.551703 
3 34  -1.229585 -2.635148 
3 35  -1.087342 -2.709083 
3 36  -0.942678 -2.773689 
3 37  -0.796058 -2.829135 
3 38  -0.647918 -2.875582 
3 39  -0.498675 -2.913181 
3 40  -0.348721 -2.942077 
3 41  -0.198435 -2.962409 
3 42  -0.048180 -2.974313 
3 43  0.101693 -2.977920 
3 44  0.250846 -2.973357 
3 45  0.398947 -2.960749 
3 46  0.545672 -2.940221 
3 47  0.690704 -2.911895 
3 48  0.833731 -2.875891 
3 49  0.974443 -2.832332 
3 50  1.112535 -2.781337 
3 51  1.247701 -2.723028 
3 52  1.379637 -2.657528 
3 53  1.508038 -2.584961 
3 54  1.632597 -2.505451 
3 55  1.753004 -2.419126 
3 56  1.868944 -2.326118 
3 57  1.980098 -2.226558 
3 58  2.086140 -2.120585 
3 59  2.186736 -2.008341 
3 60  2.281541 -1.889972 
3 61  2.370200 -1.765631 
3 62  2.452342 -1.635478 
