1.000 0.010
0 0  -0.900444 -1.462510 
0 1  -0.862161 -1.476652 
0 2  -0.824484 -1.489861 
0 3  -0.787380 -1.502182 
0 4  -0.750821 -1.513658 
0 5  -0.714782 -1.524329 
0 6  -0.679237 -1.534230 
0 7  -0.644164 -1.543394 
0 8  -0.609542 -1.551852 
0 9  -0.575352 -1.559632 
0 10  -0.541576 -1.566759 
0 11  -0.508196 -1.573257 
0 12  -0.475198 -1.579150 
0 13  -0.442566 -1.584457 
0 14  -0.410287 -1.589198 
0 15  -0.378347 -1.593389 
0 16  -0.346734 -1.597049 
0 17  -0.315437 -1.600193 
0 18  -0.284446 -1.602834 
0 19  -0.253749 -1.604986 
0 20  -0.223337 -1.606662 
0 21  -0.193201 -1.607873 
0 22  -0.163333 -1.608631 
0 23  -0.133724 -1.608945 
0 24  -0.104367 -1.608824 
0 25  -0.075254 -1.608279 
0 26  -0.046377 -1.607316 
0 27  -0.017732 -1.605943 
0 28  0.010690 -1.604168 
0 29  0.038893 -1.601997 
0 30  0.066884 -1.599437 
0 31  0.094668 -1.596492 
0 32  0.122250 -1.593169 
0 33  0.149635 -1.589471 
0 34  0.176828 -1.585404 
0 35  0.203834 -1.580972 
0 36  0.230656 -1.576178 
0 37  0.257300 -1.571025 
0 38  0.283768 -1.565517 
0 39  0.310065 -1.559656 
0 40  0.336194 -1.553445 
0 41  0.362159 -1.546885 
0 42  0.387963 -1.539979 
0 43  0.413610 -1.532728 
0 44  0.439101 -1.525133 
0 45  0.464440 -1.517195 
0 46  0.489631 -1.508915 
0 47  0.514674 -1.500293 
0 48  0.539574 -1.491329 
0 49  0.564331 -1.482023 
0 50  0.588950 -1.472375 
0 51  0.613431 -1.462383 
0 52  0.637777 -1.452048 
0 53  0.661990 -1.441367 
0 54  0.686071 -1.430339 
0 55  0.710023 -1.418962 
0 56  0.733846 -1.407235 
0 57  0.757543 -1.395154 
0 58  0.781115 -1.382718 
0 59  0.804564 -1.369923 
