1.000 0.010
0 0  -1.055252 -0.455753 
0 1  -1.013594 -0.485781 
0 2  -0.973394 -0.513424 
0 3  -0.934511 -0.538919 
0 4  -0.896820 -0.562466 
0 5  -0.860218 -0.584237 
0 6  -0.824613 -0.604382 
0 7  -0.789925 -0.623031 
0 8  -0.756084 -0.640298 
0 9  -0.723027 -0.656283 
0 10  -0.690700 -0.671076 
0 11  -0.659052 -0.684754 
0 12  -0.628041 -0.697387 
0 13  -0.597626 -0.709040 
0 14  -0.567771 -0.719767 
0 15  -0.538444 -0.729621 
0 16  -0.509616 -0.738646 
0 17  -0.481259 -0.746884 
0 18  -0.453349 -0.754374 
0 19  -0.425864 -0.761148 
0 20  -0.398782 -0.767239 
0 21  -0.372085 -0.772675 
0 22  -0.345755 -0.777482 
0 23  -0.319776 -0.781683 
0 24  -0.294133 -0.785301 
0 25  -0.268812 -0.788356 
0 26  -0.243799 -0.790865 
0 27  -0.219083 -0.792846 
0 28  -0.194653 -0.794314 
0 29  -0.170497 -0.795284 
0 30  -0.146606 -0.795768 
0 31  -0.122972 -0.795779 
0 32  -0.099584 -0.795327 
0 33  -0.076436 -0.794422 
0 34  -0.053519 -0.793074 
0 35  -0.030827 -0.791290 
0 36  -0.008352 -0.789079 
0 37  0.013912 -0.786447 
0 38  0.035969 -0.783400 
0 39  0.057827 -0.779944 
0 40  0.079491 -0.776084 
0 41  0.100964 -0.771824 
0 42  0.122253 -0.767167 
0 43  0.143361 -0.762118 
0 44  0.164292 -0.756678 
0 45  0.185050 -0.750850 
0 46  0.205640 -0.744635 
0 47  0.226063 -0.738035 
0 48  0.246325 -0.731051 
0 49  0.266426 -0.723681 
0 50  0.286371 -0.715927 
0 51  0.306161 -0.707787 
0 52  0.325800 -0.699260 
0 53  0.345289 -0.690345 
0 54  0.364630 -0.681039 
0 55  0.383826 -0.671340 
0 56  0.402877 -0.661244 
0 57  0.421786 -0.650748 
0 58  0.440553 -0.639847 
0 59  0.459180 -0.628537 
0 60  0.477668 -0.616813 
0 61  0.496017 -0.604668 
0 62  0.514229 -0.592096 
0 63  0.532303 -0.579090 
0 64  0.550240 -0.565642 
0 65  0.568040 -0.551743 
0 66  0.585702 -0.537385 
0 67  0.603227 -0.522557 
0 68  0.620614 -0.507247 
0 69  0.637862 -0.491446 
0 70  0.654969 -0.475138 
0 71  0.671935 -0.458311 
0 72  0.688758 -0.440950 
0 73  0.705437 -0.423038 
0 74  0.721968 -0.404558 
0 75  0.738350 -0.385491 
0 76  0.754580 -0.365816 
0 77  0.770654 -0.345511 
0 78  0.786569 -0.324552 
0 79  0.802320 -0.302913 
0 80  0.817904 -0.280565 
0 81  0.833314 -0.257477 
0 82  0.848545 -0.233616 
0 83  0.863591 -0.208945 
0 84  0.878443 -0.183422 
0 85  0.893095 -0.157005 
0 86  0.907536 -0.129645 
0 87  0.921756 -0.101287 
0 88  0.935745 -0.071873 
0 89  0.949489 -0.041337 
0 90  0.962973 -0.009607 
0 91  0.976181 0.023400 
0 92  0.989094 0.057773 
0 93  1.001691 0.093616 
0 94  1.013949 0.131043 
0 95  1.025839 0.170186 
0 96  1.037329 0.211194 
0 97  1.048383 0.254238 
0 98  1.058958 0.299516 
0 99  1.069003 0.347258 
0 100  1.078461 0.397732 
1 0  -1.039125 -0.514865 
1 1  -0.998426 -0.542667 
1 2  -0.959049 -0.568334 
1 3  -0.920872 -0.592063 
1 4  -0.883791 -0.614024 
1 5  -0.847715 -0.634365 
1 6  -0.812563 -0.653215 
1 7  -0.778265 -0.670686 
1 8  -0.744759 -0.686878 
1 9  -0.711989 -0.701878 
1 10  -0.679907 -0.715766 
1 11  -0.648467 -0.728610 
1 12  -0.617630 -0.740474 
1 13  -0.587360 -0.751414 
1 14  -0.557624 -0.761480 
1 15  -0.528392 -0.770718 
1 16  -0.499637 -0.779170 
1 17  -0.471335 -0.786873 
1 18  -0.443462 -0.793861 
1 19  -0.415998 -0.800166 
1 20  -0.388923 -0.805817 
1 21  -0.362220 -0.810839 
1 22  -0.335872 -0.815256 
1 23  -0.309864 -0.819091 
1 24  -0.284181 -0.822363 
1 25  -0.258812 -0.825091 
1 26  -0.233742 -0.827292 
1 27  -0.208961 -0.828981 
1 28  -0.184458 -0.830174 
1 29  -0.160223 -0.830882 
1 30  -0.136247 -0.831119 
1 31  -0.112520 -0.830895 
1 32  -0.089036 -0.830221 
1 33  -0.065785 -0.829105 
1 34  -0.042760 -0.827557 
1 35  -0.019956 -0.825584 
1 36  0.002635 -0.823194 
1 37  0.025019 -0.820392 
1 38  0.047202 -0.817185 
1 39  0.069189 -0.813577 
1 40  0.090984 -0.809574 
1 41  0.112593 -0.805179 
1 42  0.134021 -0.800395 
1 43  0.155271 -0.795226 
1 44  0.176348 -0.789675 
1 45  0.197255 -0.783742 
1 46  0.217995 -0.777430 
1 47  0.238573 -0.770740 
1 48  0.258992 -0.763672 
1 49  0.279253 -0.756226 
1 50  0.299361 -0.748403 
1 51  0.319317 -0.740201 
1 52  0.339124 -0.731619 
1 53  0.358785 -0.722655 
1 54  0.378300 -0.713308 
1 55  0.397672 -0.703575 
1 56  0.416903 -0.693452 
1 57  0.435994 -0.682937 
1 58  0.454947 -0.672025 
1 59  0.473763 -0.660711 
1 60  0.492442 -0.648991 
1 61  0.510986 -0.636859 
1 62  0.529395 -0.624308 
1 63  0.547670 -0.611332 
1 64  0.565812 -0.597924 
1 65  0.583819 -0.584074 
1 66  0.601694 -0.569776 
1 67  0.619434 -0.555018 
1 68  0.637040 -0.539790 
1 69  0.654511 -0.524082 
1 70  0.671847 -0.507881 
1 71  0.689046 -0.491175 
1 72  0.706106 -0.473948 
1 73  0.723028 -0.456186 
1 74  0.739807 -0.437872 
1 75  0.756443 -0.418989 
1 76  0.772933 -0.399517 
1 77  0.789274 -0.379435 
1 78  0.805463 -0.358722 
1 79  0.821497 -0.337352 
1 80  0.837370 -0.315300 
1 81  0.853079 -0.292536 
1 82  0.868618 -0.269029 
1 83  0.883982 -0.244746 
1 84  0.899165 -0.219649 
1 85  0.914158 -0.193698 
1 86  0.928955 -0.166849 
1 87  0.943546 -0.139052 
1 88  0.957921 -0.110254 
1 89  0.972069 -0.080396 
1 90  0.985978 -0.049412 
1 91  0.999632 -0.017230 
1 92  1.013017 0.016233 
1 93  1.026113 0.051065 
1 94  1.038900 0.087370 
1 95  1.051356 0.125263 
1 96  1.063452 0.164873 
1 97  1.075158 0.206349 
1 98  1.086438 0.249861 
1 99  1.097252 0.295604 
1 100  1.107549 0.343805 
2 0  -1.024919 -0.570725 
2 1  -0.984996 -0.596633 
2 2  -0.946285 -0.620605 
2 3  -0.908681 -0.642811 
2 4  -0.872092 -0.663397 
2 5  -0.836438 -0.682492 
2 6  -0.801648 -0.700207 
2 7  -0.767660 -0.716642 
2 8  -0.734418 -0.731885 
2 9  -0.701872 -0.746013 
2 10  -0.669977 -0.759096 
2 11  -0.638692 -0.771197 
2 12  -0.607983 -0.782371 
2 13  -0.577815 -0.792671 
2 14  -0.548158 -0.802141 
2 15  -0.518985 -0.810824 
2 16  -0.490271 -0.818756 
2 17  -0.461992 -0.825972 
2 18  -0.434128 -0.832505 
2 19  -0.406659 -0.838382 
2 20  -0.379567 -0.843629 
2 21  -0.352835 -0.848272 
2 22  -0.326448 -0.852331 
2 23  -0.300390 -0.855828 
2 24  -0.274650 -0.858781 
2 25  -0.249214 -0.861207 
2 26  -0.224071 -0.863122 
2 27  -0.199209 -0.864540 
2 28  -0.174619 -0.865475 
2 29  -0.150291 -0.865940 
2 30  -0.126216 -0.865945 
2 31  -0.102385 -0.865501 
2 32  -0.078791 -0.864618 
2 33  -0.055427 -0.863304 
2 34  -0.032284 -0.861567 
2 35  -0.009357 -0.859415 
2 36  0.013360 -0.856855 
2 37  0.035874 -0.853892 
2 38  0.058190 -0.850531 
2 39  0.080314 -0.846778 
2 40  0.102249 -0.842636 
2 41  0.124002 -0.838111 
2 42  0.145576 -0.833204 
2 43  0.166975 -0.827919 
2 44  0.188204 -0.822258 
2 45  0.209266 -0.816222 
2 46  0.230164 -0.809814 
2 47  0.250902 -0.803034 
2 48  0.271484 -0.795882 
2 49  0.291911 -0.788360 
2 50  0.312186 -0.780465 
2 51  0.332313 -0.772199 
2 52  0.352293 -0.763559 
2 53  0.372128 -0.754543 
2 54  0.391822 -0.745151 
2 55  0.411375 -0.735379 
2 56  0.430789 -0.725224 
2 57  0.450065 -0.714683 
2 58  0.469206 -0.703752 
2 59  0.488213 -0.692426 
2 60  0.507086 -0.680702 
2 61  0.525827 -0.668573 
2 62  0.544435 -0.656033 
2 63  0.562913 -0.643076 
2 64  0.581260 -0.629695 
2 65  0.599476 -0.615882 
2 66  0.617563 -0.601629 
2 67  0.635519 -0.586926 
2 68  0.653344 -0.571764 
2 69  0.671038 -0.556132 
2 70  0.688601 -0.540018 
2 71  0.706031 -0.523411 
2 72  0.723328 -0.506297 
2 73  0.740489 -0.488661 
2 74  0.757514 -0.470488 
2 75  0.774401 -0.451761 
2 76  0.791147 -0.432462 
2 77  0.807750 -0.412572 
2 78  0.824208 -0.392069 
2 79  0.840516 -0.370931 
2 80  0.856672 -0.349134 
2 81  0.872672 -0.326649 
2 82  0.888510 -0.303449 
2 83  0.904182 -0.279503 
2 84  0.919683 -0.254774 
2 85  0.935005 -0.229227 
2 86  0.950143 -0.202821 
2 87  0.965087 -0.175510 
2 88  0.979830 -0.147246 
2 89  0.994361 -0.117975 
2 90  1.008670 -0.087637 
2 91  1.022743 -0.056167 
2 92  1.036568 -0.023490 
2 93  1.050128 0.010473 
2 94  1.063406 0.045814 
2 95  1.076381 0.082636 
2 96  1.089030 0.121052 
2 97  1.101328 0.161193 
2 98  1.113244 0.203207 
2 99  1.124744 0.247263 
2 100  1.135786 0.293557 
3 0  -1.012362 -0.623887 
3 1  -0.973068 -0.648161 
3 2  -0.934897 -0.670664 
3 3  -0.897754 -0.691544 
3 4  -0.861561 -0.710926 
3 5  -0.826244 -0.728925 
3 6  -0.791741 -0.745639 
3 7  -0.757995 -0.761155 
3 8  -0.724956 -0.775553 
3 9  -0.692578 -0.788901 
3 10  -0.660821 -0.801264 
3 11  -0.629647 -0.812696 
3 12  -0.599024 -0.823250 
3 13  -0.568921 -0.832971 
3 14  -0.539309 -0.841901 
3 15  -0.510163 -0.850078 
3 16  -0.481460 -0.857538 
3 17  -0.453178 -0.864310 
3 18  -0.425298 -0.870425 
3 19  -0.397800 -0.875909 
3 20  -0.370669 -0.880786 
3 21  -0.343887 -0.885079 
3 22  -0.317441 -0.888808 
3 23  -0.291317 -0.891991 
3 24  -0.265502 -0.894648 
3 25  -0.239983 -0.896793 
3 26  -0.214751 -0.898441 
3 27  -0.189795 -0.899606 
3 28  -0.165104 -0.900301 
3 29  -0.140669 -0.900537 
3 30  -0.116483 -0.900324 
3 31  -0.092537 -0.899673 
3 32  -0.068823 -0.898592 
3 33  -0.045334 -0.897090 
3 34  -0.022063 -0.895175 
3 35  0.000996 -0.892852 
3 36  0.023849 -0.890129 
3 37  0.046502 -0.887011 
3 38  0.068960 -0.883503 
3 39  0.091228 -0.879610 
3 40  0.113312 -0.875335 
3 41  0.135215 -0.870683 
3 42  0.156943 -0.865656 
3 43  0.178498 -0.860257 
3 44  0.199886 -0.854489 
3 45  0.221109 -0.848352 
3 46  0.242170 -0.841848 
3 47  0.263075 -0.834978 
3 48  0.283824 -0.827743 
3 49  0.304422 -0.820142 
3 50  0.324870 -0.812175 
3 51  0.345172 -0.803842 
3 52  0.365329 -0.795141 
3 53  0.385345 -0.786070 
3 54  0.405220 -0.776628 
3 55  0.424957 -0.766812 
3 56  0.444558 -0.756620 
3 57  0.464024 -0.746047 
3 58  0.483356 -0.735091 
3 59  0.502557 -0.723747 
3 60  0.521626 -0.712010 
3 61  0.540566 -0.699875 
3 62  0.559376 -0.687337 
3 63  0.578058 -0.674388 
3 64  0.596612 -0.661024 
3 65  0.615039 -0.647235 
3 66  0.633338 -0.633014 
3 67  0.651511 -0.618352 
3 68  0.669556 -0.603241 
3 69  0.687473 -0.587669 
3 70  0.705263 -0.571625 
3 71  0.722924 -0.555099 
3 72  0.740455 -0.538077 
3 73  0.757855 -0.520546 
3 74  0.775124 -0.502491 
3 75  0.792259 -0.483896 
3 76  0.809258 -0.464744 
3 77  0.826120 -0.445017 
3 78  0.842842 -0.424694 
3 79  0.859421 -0.403755 
3 80  0.875854 -0.382177 
3 81  0.892137 -0.359934 
3 82  0.908267 -0.336999 
3 83  0.924240 -0.313343 
3 84  0.940049 -0.288934 
3 85  0.955689 -0.263738 
3 86  0.971155 -0.237716 
3 87  0.986440 -0.210827 
3 88  1.001535 -0.183026 
3 89  1.016432 -0.154265 
3 90  1.031121 -0.124487 
3 91  1.045592 -0.093633 
3 92  1.059832 -0.061638 
3 93  1.073827 -0.028426 
3 94  1.087563 0.006083 
3 95  1.101021 0.041981 
3 96  1.114183 0.079371 
3 97  1.127025 0.118368 
3 98  1.139521 0.159103 
3 99  1.151643 0.201724 
3 100  1.163356 0.246400 
4 0  -1.001239 -0.674790 
4 1  -0.962455 -0.697642 
4 2  -0.924718 -0.718860 
4 3  -0.887946 -0.738572 
4 4  -0.852067 -0.756892 
4 5  -0.817015 -0.773919 
4 6  -0.782734 -0.789741 
4 7  -0.749172 -0.804437 
4 8  -0.716284 -0.818078 
4 9  -0.684028 -0.830726 
4 10  -0.652366 -0.842438 
4 11  -0.621264 -0.853267 
4 12  -0.590691 -0.863257 
4 13  -0.560619 -0.872452 
